Title,ArtistName,Rank,Weeks,isNew
el perdon (forgiveness),nicky jam & enrique iglesias,58,29,0
john cougar  john deere  john 3:16,keith urban,59,18,0
i'm comin' over,chris young,60,15,0
anything goes,florida georgia line,61,13,0
comfortable,k camp,62,10,0
house party,sam hunt,63,19,0
liquor,chris brown,64,6,0
right hand,drake,65,4,0
no role modelz,j. cole,66,8,0
rgf island,fetty wap,67,3,0
smoke break,carrie underwood,68,7,0
die a happy man,thomas rhett,69,3,0
fly,maddie & tae,70,13,0
digital dash,drake & future,71,3,0
scholarships,drake & future,72,3,0
gonna wanna tonight,chase rice,73,9,0
let me see ya girl,cole swindell,74,10,0
buy me a boat,chris janson,75,20,0
nothin' like you,dan + shay,76,9,0
this could be us,rae sremmurd,77,18,0
come get her,rae sremmurd,78,4,0
i'm the plug,drake & future,79,3,0
blase,ty dolla $ign featuring future & rae sremmurd,80,4,0
don't,bryson tiller,81,2,0
live from the gutter,drake & future,82,3,0
back up,dej loaf featuring big sean,83,1,1
powerful,major lazer featuring ellie goulding & tarrus riley,84,3,0
gonna,blake shelton,85,4,0
change locations,drake & future,86,2,0
plastic bag,drake & future,87,2,0
ginza,j balvin,88,5,0
nothing but trouble (instagram models),lil wayne & charlie puth,89,4,0
break up in a small town,sam hunt,90,1,1
jersey,future,91,2,0
new americana,halsey,92,5,0
hide away,daya,93,3,0
the fix,nelly featuring jeremih,94,2,0
stressed out,twenty one pilots,95,3,0
cecilia and the satellite,andrew mcmahon in the wilderness,96,3,0
ghost town,adam lambert,97,17,0
jugg,fetty wap featuring monty,98,2,0
stay a little longer,brothers osborne,99,1,1
hold each other,a great big world featuring futuristic,100,2,0
empire state of mind,jay-z + alicia keys,1,11,0
bad romance,lady gaga,2,4,0
fireflies,owl city,3,14,0
whatcha say,jason derulo,4,15,0
tik tok,ke$ha,5,7,0
replay,iyaz,6,14,0
sexy chick,david guetta featuring akon,7,16,0
paparazzi,lady gaga,8,13,0
3,britney spears,9,7,0
down,jay sean featuring lil wayne,10,21,0
party in the u.s.a.,miley cyrus,11,15,0
meet me halfway,the black eyed peas,12,10,0
sweet dreams,beyonce,13,18,0
need you now,lady antebellum,14,15,0
you belong with me,taylor swift,15,31,0
already gone,kelly clarkson,16,17,0
forever,drake featuring kanye west  lil wayne & eminem,17,10,0
i gotta feeling,the black eyed peas,18,24,0
russian roulette,rihanna,19,5,0
run this town,jay-z  rihanna & kanye west,20,17,0
use somebody,kings of leon,21,43,0
i can transform ya,chris brown featuring lil wayne & swizz beatz,22,7,0
cowboy casanova,carrie underwood,23,10,0
one time,justin bieber,24,18,0
half of my heart,john mayer,25,1,1
fifteen,taylor swift,26,12,0
evacuate the dancefloor,cascada,27,15,0
fallin' for you,colbie caillat,28,21,0
baby by me,50 cent featuring ne-yo,29,4,0
do you remember,jay sean featuring sean paul & lil jon,30,3,0
happy,leona lewis,31,7,0
money to blow,birdman featuring lil wayne & drake,32,7,0
toes,zac brown band,33,18,0
do i,luke bryan,34,12,0
body language,jesse mccartney featuring t-pain,35,8,0
papers,usher,36,6,0
i'm alive,kenny chesney with dave matthews,37,14,0
obsessed,mariah carey,38,20,0
consider me gone,reba,39,8,0
two is better than one,boys like girls featuring taylor swift,40,5,0
live like we're dying,kris allen,41,4,0
white liar,miranda lambert,42,6,0
say hey (i love you),michael franti & spearhead featuring cherine anderson,43,18,0
tie me down,new boyz featuring ray j,44,6,0
hey  soul sister,train,45,8,0
break up,mario featuring gucci mane & sean garrett,46,23,0
hotel room service,pitbull,47,23,0
if you only knew,shinedown,48,4,0
wasted,gucci mane featuring plies or oj da juiceman,49,12,0
lean on me,glee cast,50,1,1
gangsta luv,snoop dogg featuring the-dream,51,5,0
southern voice,tim mcgraw,52,5,0
all the right moves,onerepublic,53,7,0
uprising,muse,54,11,0
who says,john mayer,55,6,0
funhouse,pink,56,9,0
i invented sex,trey songz featuring drake,57,5,0
try sleeping with a broken heart,alicia keys,58,1,1
smile,uncle kracker,59,16,0
i wanna make you close your eyes,dierks bentley,60,8,0
give it up to me,shakira featuring lil wayne,61,2,0
red light,david nail,62,9,0
bonfire,craig morgan,63,9,0
don't stand so close to me / young girl,glee cast,64,1,1
she wolf,shakira,65,19,0
the truth,jason aldean,66,3,0
spotlight,gucci mane featuring usher,67,4,0
say aah,trey songz featuring fabolous,68,2,0
haven't met you yet,michael buble,69,8,0
gettin' you home,chris young,70,15,0
history in the making,darius rucker,71,4,0
imma star (everywhere we are),jeremih,72,18,0
i'll stand by you,glee cast,73,1,1
defying gravity,glee cast,74,3,0
i'm going in,drake featuring lil wayne & young jeezy,75,10,0
bad habits,maxwell,76,9,0
drop it low,ester dean featuring chris brown,77,11,0
endless love,glee cast,78,1,1
down to earth,justin bieber,79,1,1
hard,rihanna featuring jeezy,80,1,1
i will not bow,breaking benjamin,81,12,0
someday,rob thomas,82,3,0
eight second ride,jake owen,83,3,0
5 star,yo gotti,84,2,0
only you can love me this way,keith urban,85,19,0
never gonna be alone,nickelback,86,4,0
welcome to the future,brad paisley,87,16,0
it kills me,melanie fiona,88,1,1
we weren't born to follow,bon jovi,89,3,0
break,three days grace,90,11,0
regret,letoya featuring ludacris,91,7,0
doesn't mean anything,alicia keys,92,9,0
why don't we just dance,josh turner,93,2,0
bigger,justin bieber,94,1,1
wheels,foo fighters,95,8,0
i get it in,omarion featuring gucci mane,96,3,0
the invitation,50 cent,97,1,1
(if you're wondering if i want you to) i want you to,weezer,98,4,0
first dance,justin bieber featuring usher,99,1,1
heartbreak warfare,john mayer,100,1,1
happy,pharrell williams,1,9,0
dark horse,katy perry featuring juicy j,2,24,0
talk dirty,jason derulo featuring 2 chainz,3,11,0
all of me,john legend,4,21,0
pompeii,bastille,5,29,0
team,lorde,6,23,0
drunk in love,beyonce featuring jay z,7,11,0
counting stars,onerepublic,8,37,0
say something,a great big world & christina aguilera,9,17,0
timber,pitbull featuring ke$ha,10,21,0
let her go,passenger,11,31,0
story of my life,one direction,12,18,0
the man,aloe blacc,13,10,0
show me,kid ink featuring chris brown,14,17,0
the monster,eminem featuring rihanna,15,18,0
burn,ellie goulding,16,26,0
let it go,idina menzel,17,14,0
royals,lorde,18,35,0
my hitta,yg featuring jeezy & rich homie quan,19,22,0
demons,imagine dragons,20,45,0
best day of my life,american authors,21,16,0
wake me up!,avicii,22,36,0
partition,beyonce,23,8,0
roar,katy perry,24,30,0
hey brother,avicii,25,13,0
can't remember to forget you,shakira featuring rihanna,26,7,0
radioactive,imagine dragons,27,79,0
turn down for what,dj snake & lil jon,28,10,0
paranoid,ty dolla $ign featuring b.o.b,29,11,0
adore you,miley cyrus,30,12,0
animals,martin garrix,31,24,0
bottoms up,brantley gilbert,32,11,0
young girls,bruno mars,33,9,0
love me again,john newman,34,15,0
wrecking ball,miley cyrus,35,28,0
brave,sara bareilles,36,38,0
hold on  we're going home,drake featuring majid jordan,37,30,0
when she says baby,jason aldean,38,14,0
blurred lines,robin thicke featuring t.i. + pharrell,39,46,0
i hold on,dierks bentley,40,11,0
sail,awolnation,41,78,0
loyal,chris brown featuring lil wayne & french montana or too $hort or tyga,42,7,0
chillin' it,cole swindell,43,20,0
drink a beer,luke bryan,44,17,0
doin' what she likes,blake shelton,45,7,0
neon lights,demi lovato,46,10,0
compass,lady antebellum,47,17,0
na na,trey songz,48,6,0
cop car,keith urban,49,5,0
give me back my hometown,eric church,50,8,0
human,christina perri,51,4,0
see you tonight,scotty mccreery,52,14,0
drink to that all night,jerrod niemann,53,9,0
helluva life,frankie ballard,54,13,0
#selfie,the chainsmokers,55,1,1
this is how we roll,florida georgia line featuring luke bryan,56,4,0
take me home,cash cash featuring bebe rexha,57,7,0
stoner,young thug,58,3,0
rewind,rascal flatts,59,7,0
19 you + me,dan + shay,60,9,0
let it go,demi lovato,61,14,0
man of the year,schoolboy q,62,3,0
up down (do this all day),t-pain featuring b.o.b,63,15,0
get me some of that,thomas rhett,64,8,0
not a bad thing,justin timberlake,65,1,1
the worst,jhene aiko,66,4,0
rap god,eminem,67,20,0
glory and gore,lorde,68,2,0
goodnight kiss,randy houser,69,8,0
do i wanna know?,arctic monkeys,70,13,0
everything i shouldn't be thinking about,thompson square,71,7,0
odio,romeo santos featuring drake,72,5,0
they don't know,rico love,73,6,0
love don't die,the fray,74,9,0
do you want to build a snowman?,kristen bell  agatha lee monn & katie lopez,75,10,0
ride,somo,76,8,0
the language,drake,77,19,0
stay,florida georgia line,78,20,0
on top of the world,imagine dragons,79,5,0
beat of the music,brett eldredge,80,4,0
everything is awesome!!!,tegan and sara featuring the lonely island,81,3,0
unconditionally,katy perry,82,19,0
oceans (where feet may fail),hillsong united,83,6,0
chocolate,the 1975,84,5,0
la la la,naughty boy featuring sam smith,85,2,0
the heart of dixie,danielle bradbery,86,13,0
for the first time in forever,kristen bell & idina menzel,87,10,0
friday night,eric paslay,88,20,0
wild wild love,pitbull featuring g.r.l.,89,1,1
waiting for superman,daughtry,90,16,0
classic,mkto,91,3,0
part ii (on the run),jay z featuring beyonce,92,3,0
the walker,fitz and the tantrums,93,1,1
collard greens,schoolboy q featuring kendrick lamar,94,8,0
do what u want,lady gaga featuring r. kelly,95,19,0
ain't it fun,paramore,96,1,1
automatic,miranda lambert,97,2,0
can't raise a man,k. michelle,98,4,0
lettin' the night roll,justin moore,99,2,0
sleeping with a friend,neon trees,100,1,1
love the way you lie,eminem featuring rihanna,1,4,0
california gurls,katy perry featuring snoop dogg,2,10,0
airplanes,b.o.b featuring hayley williams,3,14,0
dynamite,taio cruz,4,7,0
omg,usher featuring will.i.am,5,16,0
cooler than me,mike posner,6,12,0
billionaire,travie mccoy featuring bruno mars,7,16,0
i like it,enrique iglesias featuring pitbull,8,10,0
find your love,drake,9,11,0
ridin' solo,jason derulo,10,16,0
not afraid,eminem,11,11,0
bulletproof,la roux,12,20,0
impossible,shontelle,13,13,0
alejandro,lady gaga,14,16,0
break your heart,taio cruz featuring ludacris,15,21,0
your love is my drug,ke$ha,16,23,0
hey  soul sister,train,17,42,0
your love,nicki minaj,18,7,0
dj got us fallin' in love,usher featuring pitbull,19,1,1
my first kiss,3oh!3 featuring ke$ha,20,11,0
un-thinkable (i'm ready),alicia keys,21,15,0
need you now,lady antebellum,22,49,0
nothin' on you,b.o.b featuring bruno mars,23,25,0
undo it,carrie underwood,24,12,0
somebody to love,justin bieber featuring usher,25,10,0
there goes my baby,usher,26,18,0
all i do is win,dj khaled featuring t-pain  ludacris  snoop dogg & rick ross,27,22,0
misery,maroon 5,28,4,0
hello good morning,diddy - dirty money featuring t.i.,29,16,0
lover  lover,jerrod niemann,30,12,0
breakeven,the script,31,33,0
