Title,ArtistName,Rank,Weeks,isNew
shape of you,ed sheeran,1,10,0
that's what i like,bruno mars,2,9,0
bad and boujee,migos featuring lil uzi vert,3,18,0
i don't wanna live forever (fifty shades darker),zayn / taylor swift,4,14,0
i feel it coming,the weeknd featuring daft punk,5,17,0
tunnel vision,kodak black,6,4,0
love on the brain,rihanna,7,22,0
something just like this,the chainsmokers & coldplay,8,4,0
paris,the chainsmokers,9,9,0
ispy,kyle featuring lil yachty,10,12,0
bounce back,big sean,11,19,0
rockabye,clean bandit featuring sean paul & anne-marie,12,15,0
closer,the chainsmokers featuring halsey,13,33,0
no frauds,nicki minaj  drake & lil wayne,14,1,1
chained to the rhythm,katy perry featuring skip marley,15,5,0
cold,maroon 5 featuring future,16,5,0
it ain't me,kygo x selena gomez,17,5,0
body like a back road,sam hunt,18,7,0
mask off,future,19,4,0
mercy,shawn mendes,20,26,0
say you won't let go,james arthur,21,21,0
24k magic,bruno mars,22,23,0
down,marian hill,23,9,0
issues,julia michaels,24,8,0
scars to your beautiful,alessia cara,25,29,0
t-shirt,migos,26,9,0
stay,zedd & alessia cara,27,3,0
can't stop the feeling!,justin timberlake,28,45,0
bad things,machine gun kelly x camila cabello,29,20,0
starboy,the weeknd featuring daft punk,30,26,0
fake love,drake,31,21,0
congratulations,post malone featuring quavo,32,12,0
swang,rae sremmurd,33,13,0
rolex,ayo & teo,34,5,0
location,khalid,35,10,0
don't wanna know,maroon 5 featuring kendrick lamar,36,23,0
dirt on my boots,jon pardi,37,15,0
million reasons,lady gaga,38,17,0
green light,lorde,39,3,0
black beatles,rae sremmurd featuring gucci mane,40,27,0
let me love you,dj snake featuring justin bieber,41,32,0
believer,imagine dragons,42,6,0
water under the bridge,adele,43,19,0
party,chris brown featuring usher & gucci mane,44,13,0
heathens,twenty one pilots,45,39,0
how far i'll go,auli'i cravalho,46,14,0
make me (cry),noah cyrus featuring labrinth,47,14,0
slide,calvin harris featuring frank ocean & migos,48,3,0
caroline,amine,49,28,0
goosebumps,travis scott,50,19,0
both,gucci mane featuring drake,51,13,0
castle on the hill,ed sheeran,52,10,0
despacito,luis fonsi & daddy yankee featuring justin bieber,53,9,0
think a little less,michael ray,54,12,0
everyday,ariana grande featuring future,55,5,0
redbone,childish gambino,56,15,0
deja vu,j. cole,57,14,0
play that song,train,58,16,0
selfish,future featuring rihanna,59,3,0
perfect,ed sheeran,60,2,0
regret in your tears,nicki minaj,61,1,1
better man,little big town,62,20,0
galway girl,ed sheeran,63,2,0
fast,luke bryan,64,8,0
look at me!,xxxtentacion,65,6,0
hurricane,luke combs,66,5,0
shining,dj khaled featuring beyonce & jay z,67,5,0
in case you didn't know,brett young,68,6,0
heavy,linkin park featuring kiiara,69,4,0
any ol' barstool,jason aldean,70,8,0
changed it,nicki minaj & lil wayne,71,1,1
chanel,frank ocean,72,1,1
moves,big sean,73,12,0
draco,future,74,4,0
call on me,starley,75,11,0
how far i'll go,alessia cara,76,15,0
party monster,the weeknd,77,17,0
liability,lorde,78,1,1
losin control,russ,79,3,0
road less traveled,lauren alaina,80,8,0
hometown girl,josh turner,81,3,0
i got you,bebe rexha,82,11,0
kill a word,eric church featuring rhiannon giddens,83,14,0
the weekend,brantley gilbert,84,11,0
dive,ed sheeran,85,2,0
sober saturday night,chris young featuring vince gill,86,11,0
the fighter,keith urban featuring carrie underwood,87,6,0
black,dierks bentley,88,7,0
today,brad paisley,89,11,0
selfish,pnb rock,90,19,0
yeah boy,kelsea ballerini,91,5,0
you're welcome,dwayne johnson,92,9,0
good drank,2 chainz x gucci mane x quavo,93,2,0
happier,ed sheeran,94,2,0
prblms,6lack,95,1,1
comin out strong,future featuring the weeknd,96,3,0
chantaje,shakira featuring maluma,97,18,0
el amante,nicky jam,98,5,0
slippery,migos featuring gucci mane,99,6,0
scared to be lonely,martin garrix & dua lipa,100,3,0
see you again,wiz khalifa featuring charlie puth,1,14,0
bad blood,taylor swift featuring kendrick lamar,2,7,0
trap queen,fetty wap,3,21,0
shut up and dance,walk the moon,4,31,0
want to want me,jason derulo,5,14,0
uptown funk!,mark ronson featuring bruno mars,6,31,0
cheerleader,omi,7,8,0
earned it (fifty shades of grey),the weeknd,8,25,0
hey mama,david guetta featuring nicki minaj  bebe rexha & afrojack,9,12,0
honey  i'm good.,andy grammer,10,16,0
watch me,silento,11,16,0
sugar,maroon 5,12,22,0
you know you like it,dj snake & alunageorge,13,12,0
talking body,tove lo,14,20,0
worth it,fifth harmony featuring kid ink,15,17,0
where are u now,skrillex & diplo with justin bieber,16,15,0
post to be,omarion featuring chris brown & jhene aiko,17,23,0
nasty freestyle,t-wayne,18,9,0
fight song,rachel platten,19,9,0
lean on,major lazer & dj snake featuring mo,20,10,0
thinking out loud,ed sheeran,21,36,0
love me like you do,ellie goulding,22,23,0
the hills,the weeknd,23,3,0
can't feel my face,the weeknd,24,1,1
this summer's gonna hurt...,maroon 5,25,5,0
b**** better have my money,rihanna,26,12,0
flex (ooh ooh ooh),rich homie quan,27,8,0
girl crush,little big town,28,17,0
slow motion,trey songz,29,18,0
dear future husband,meghan trainor,30,22,0
somebody,natalie la rose featuring jeremih,31,21,0
elastic heart,sia,32,23,0
take your time,sam hunt,33,24,0
style,taylor swift,34,27,0
the night is still young,nicki minaj,35,6,0
budapest,george ezra,36,20,0
kick the dust up,luke bryan,37,4,0
g.d.f.r.,flo rida featuring sage the gemini & lookas,38,31,0
shake it off,taylor swift,39,43,0
sangria,blake shelton,40,9,0
photograph,ed sheeran,41,5,0
blank space,taylor swift,42,33,0
bright,echosmith,43,13,0
be real,kid ink featuring dej loaf,44,9,0
love me like you mean it,kelsea ballerini,45,11,0
