Date,ArtistName,Rank,Weeks,isNew
2019-02-02,William Tyler,44,1,True
2019-02-02,Josh Baldwin,45,4,False
2019-02-02,Manuel Turizo,46,18,False
2019-02-02,Better Oblivion Community Center,47,1,True
2019-02-02,The Glorious Sons,48,8,False
2019-02-02,Cory Asbury,49,48,False
2019-02-02,MONSTA X,50,42,False
2019-01-26,Ava Max,1,12,False
2019-01-26,Dean Lewis,2,19,False
2019-01-26,dodie,3,2,False
2019-01-26,Lauv,4,72,False
2019-01-26,lovelytheband,5,44,False
2019-01-26,Pinkfong,6,17,False
2019-01-26,Jimmie Allen,7,24,False
2019-01-26,City Girls,8,8,False
2019-01-26,YNW Melly,9,20,False
2019-01-26,Queen Naija,10,45,False
2019-01-26,Mitchell Tenpenny,11,29,False
2019-01-26,Jordan Davis,12,67,False
2019-01-26,Pardison Fontaine,13,18,False
2019-01-26,Calboy,14,7,False
2019-01-26,NCT,15,34,False
2019-01-26,Jacquees,16,50,False
2019-01-26,Pedro The Lion,17,1,True
2019-01-26,Gesaffelstein,18,3,False
2019-01-26,Blueface,19,4,False
2019-01-26,Louis Tomlinson,20,51,False
2019-01-26,Alice Merton,21,37,False
2019-01-26,Roddy Ricch,22,6,False
2019-01-26,Cosmo Sheldrake,23,3,False
2019-01-26,WayV,24,2,False
2019-01-26,The Steel Woods,25,1,True
2019-01-26,Loud Luxury,26,22,False
2019-01-26,AJR,27,57,False
2019-01-26,Yella Beezy,28,33,False
2019-01-26,NCT 127,29,22,False
2019-01-26,Tenille Arts,30,1,True
2019-01-26,Lil Mosey,31,21,False
2019-01-26,Riley Green,32,13,False
2019-01-26,Morgan Wallen,33,54,False
2019-01-26,FEVER 333,34,1,True
2019-01-26,DaniLeigh,35,9,False
2019-01-26,Mustard,36,1,True
2019-01-26,Alec Benjamin,37,4,False
2019-01-26,Silk City,38,19,False
2019-01-26,Lil' Duval,39,25,False
2019-01-26,flora cash,40,15,False
2019-01-26,Greensky Bluegrass,41,1,True
2019-01-26,Hikaru Utada,42,2,False
2019-01-26,Flatland Cavalry,43,1,True
2019-01-26,BLACKPINK,44,25,False
2019-01-26,ASTRO,45,2,False
2019-01-26,NCT DREAM,46,9,False
2019-01-26,Manuel Turizo,47,17,False
2019-01-26,Josh Baldwin,48,3,False
2019-01-26,Calum Scott,49,46,False
2019-01-26,Rita Ora,50,26,False
2019-01-19,Ava Max,1,11,False
2019-01-19,Dean Lewis,2,18,False
2019-01-19,Lauv,3,71,False
2019-01-19,Jordan Davis,4,66,False
2019-01-19,lovelytheband,5,43,False
2019-01-19,Mitchell Tenpenny,6,28,False
2019-01-19,Jimmie Allen,7,23,False
2019-01-19,Gesaffelstein,8,2,False
2019-01-19,Pinkfong,9,16,False
2019-01-19,Queen Naija,10,44,False
2019-01-19,Kero Kero Bonito,11,1,True
2019-01-19,Louis Tomlinson,12,50,False
2019-01-19,Calboy,13,6,False
2019-01-19,Jacquees,14,49,False
2019-01-19,Pardison Fontaine,15,17,False
2019-01-19,WayV,16,1,True
2019-01-19,Alec Benjamin,17,3,False
2019-01-19,City Girls,18,7,False
2019-01-19,Roddy Ricch,19,5,False
2019-01-19,Loud Luxury,20,21,False
2019-01-19,Lil' Duval,21,24,False
2019-01-19,AJR,22,56,False
2019-01-19,Silk City,23,18,False
2019-01-19,Morgan Wallen,24,53,False
2019-01-19,Yella Beezy,25,32,False
2019-01-19,Lil Mosey,26,20,False
2019-01-19,Jinjer,27,1,True
2019-01-19,Lauren Jauregui,28,11,False
2019-01-19,Cosmo Sheldrake,29,2,False
2019-01-19,Afterlife,30,1,True
2019-01-19,DaniLeigh,31,8,False
2019-01-19,BLACKPINK,32,24,False
