Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Target
STUPID (feat. Yung Baby Tate),ashnikko,2019,07,0.772,0.637,2,-6.881,1,0.114,0.00459,0,0.0778,0.54,149.906,70071,72,0
Sigo Chambeando,fuerza regida,2018,12,0.819,0.48,5,-6.966,1,0.0489,0.685,2.03e-06,0.116,0.759,114.04,412318,75,0
A Great Design,black marble,2012,10,0.569,0.59,11,-11.182,1,0.0308,0.451,0.888,0.112,0.269,110.007,55864,56,0
I Miss Having Sex But At Least I Don't Wanna Die Anymore,waterparks,2019,10,0.614,0.833,8,-4.126,1,0.0641,0.0808,0,0.351,0.855,148.136,181758,68,0
Mountain at My Gates,foals,2015,08,0.495,0.931,2,-5.336,0,0.0469,0.0025,0.0783,0.246,0.617,104.05,952475,74,0
Nothing is Safe,clipping.,2019,10,0.921,0.514,2,-8.435,0,0.0703,0.0816,0.0498,0.0574,0.321,125.972,89610,58,0
like i need u,keshi,2018,11,0.748,0.465,5,-8.163,1,0.0869,0.399,0,0.294,0.412,119.872,156986,70,0
Time Will Tell - Live,the magpie salute,2017,06,0.653,0.649,0,-7.023,1,0.0386,0.0682,0.0122,0.699,0.566,139.101,17561,39,0
Most Events Aren't Planned,vida blue,2002,06,0.487,0.722,2,-9.624,1,0.0812,0.0226,0.191,0.0893,0.263,124.258,2886,30,0
Paul,big thief,2016,05,0.483,0.263,11,-11.541,1,0.0401,0.199,0.000306,0.109,0.166,123.453,173803,68,0
Might Be Right,white reaper,2019,05,0.595,0.86,1,-3.897,0,0.0332,0.00222,0.18,0.227,0.891,131.99,37603,55,0
Si Se Da - Remix,myke towers,2019,08,0.817,0.672,11,-5.612,0,0.299,0.441,0,0.13,0.774,93.999,666032,90,0
Cursed,gideon,2017,05,0.65,0.979,6,-3.778,1,0.07,0.00214,0,0.834,0.473,120.077,53869,53,0
Dreaming2 (feat. Tory Lanez),battles,2019,10,0.647,0.804,5,-5.517,0,0.325,0.133,0,0.163,0.657,163.988,331381,61,0
Wolf Totem,the hu,2019,09,0.557,0.718,8,-8.504,1,0.0415,0.0888,0.0511,0.661,0.49,172.039,140372,58,0
WONDERLAND,ateez,2019,10,0.572,0.964,4,-1.949,0,0.123,0.0503,0,0.372,0.519,129.979,376856,73,0
Red Nose,sage the gemini,2014,03,0.681,0.473,11,-5.733,0,0.449,0.414,0,0.0794,0.766,194.826,624647,71,1
YAKWTFGO,bia,2018,09,0.812,0.748,5,-5.959,0,0.139,0.00397,0,0.174,0.158,132.035,31711,71,0
Kill or Be Killed,spite,2017,07,0.34,0.986,11,-4.342,0,0.302,0.000531,3.81e-05,0.424,0.0795,185.005,31722,49,0
