Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Popularity,Ranks,Weeks,isNew,Target
a little bit stronger,sara evans,2011,03,0.536,0.65,2,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,662151,58,45,14,0,1
no hands,waka flocka flame,2010,10,0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,1705075,70,46,30,0,1
rocketeer,far*east movement,2010,01,0.664,0.845,4,-6.115,0,0.0461,0.181,0,0.267,0.357,96.005,886834,68,47,18,0,1
marry me,train,2010,12,0.461,0.267,0,-8.514,1,0.0278,0.834,2.03e-05,0.107,0.481,87.918,3006378,76,48,20,0,1
price tag,jessie j,2011,01,0.638,0.831,5,-3.944,1,0.182,0.0281,3.06e-06,0.277,0.685,175.038,6698989,75,49,9,0,1
i won't let go,rascal flatts,2010,01,0.557,0.406,4,-7.083,1,0.0278,0.742,0,0.113,0.222,131.96,2083298,74,50,10,0,1
let me down easy,billy currington,2010,01,0.61,0.497,1,-4.885,1,0.027,0.362,0,0.107,0.163,125.029,1520602,70,51,19,0,1
what do you want,jerrod niemann,2010,07,0.555,0.496,4,-10.12,1,0.143,0.657,1.14e-06,0.106,0.543,153.301,350960,58,52,15,0,1
this,darius rucker,2008,01,0.584,0.524,4,-6.001,1,0.0287,0.335,0,0.11,0.389,143.863,1372133,69,53,14,0,1
heart like mine,miranda lambert,2009,09,0.437,0.844,8,-3.394,1,0.0381,0.0642,1.42e-06,0.124,0.493,155.066,2053175,73,54,8,0,1
did it on'em,nicki minaj,2010,01,0.559,0.414,9,-7.032,0,0.351,0.0445,0,0.204,0.472,155.949,16399430,90,55,5,0,1
you lie,the band perry,2010,01,0.521,0.656,6,-5.015,1,0.0289,0.387,0,0.143,0.598,170.939,1024682,62,56,5,0,1
when i'm gone,wiz khalifa,2011,03,0.701,0.76,9,-6.561,1,0.0512,0.496,0,0.0867,0.301,91.986,8542102,86,57,1,1,1
the cave,mumford,2009,10,0.595,0.506,4,-9.682,1,0.0388,0.0464,0.000138,0.107,0.346,141.981,5392622,80,58,9,0,1
without you,keith urban,2010,01,0.496,0.397,1,-10.534,1,0.0299,0.463,6.54e-06,0.128,0.611,160.021,3371592,74,59,4,0,1
give me everything,pitbull,2011,06,0.671,0.939,8,-3.206,1,0.161,0.192,0,0.298,0.529,129.023,7320165,84,60,1,1,1
live a little,kenny chesney,2010,09,0.642,0.886,7,-6.151,1,0.04,0.0207,0.0275,0.391,0.287,123.985,2683143,76,61,4,0,1
if heaven wasn't so far away,justin moore,2011,01,0.374,0.657,11,-6.086,1,0.0325,0.0434,0,0.219,0.376,74.234,1032721,68,62,2,0,1
you be killin em,fabolous,2010,01,0.664,0.909,6,-3.552,0,0.22,0.444,0,0.525,0.557,93.977,1332087,73,63,14,0,1
never say never,justin bieber,2011,01,0.739,0.807,0,-5.063,1,0.0647,0.0181,0,0.295,0.633,97.048,30981857,93,64,16,0,1
bleed red,ronnie dunn,2011,06,0.487,0.668,10,-4.251,1,0.0321,0.346,4.56e-05,0.107,0.184,90.083,73893,51,65,8,0,1
friday,rebecca black,2011,03,0.684,0.889,8,-4.555,0,0.102,0.0307,2.57e-06,0.775,0.582,112.004,68258,45,66,3,0,1
mean,taylor swift,2010,10,0.568,0.761,4,-3.987,1,0.0459,0.452,0,0.217,0.789,163.974,24009099,94,67,3,0,1
love faces,trey songz,2010,09,0.654,0.599,11,-6.699,1,0.0563,0.0599,0,0.161,0.333,119.778,4539452,78,68,10,0,1
the story,sara ramirez,2011,03,0.504,0.41,11,-5.86,1,0.0288,0.0438,0.00123,0.108,0.134,98.022,26882,44,69,1,1,1
tomorrow,chris young,2011,07,0.441,0.644,11,-5.774,1,0.0363,0.56,0,0.109,0.349,141.733,1620127,72,70,4,0,1
