Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
barenaked ladies,this is where it ends ,1996,03,0.767,0.569,7.0,-11.36,1.0,0.0278,0.136,0.00016,0.174,0.716,120.977,15647,0
brokencyde,schitzo,2012,10,0.62,0.943,4.0,-4.678,0.0,0.229,0.0253,2.75e-06,0.0569,0.282,85.014,1368,0
dean martin,pennies from heaven,2011,01,0.256,0.102,8.0,-13.863,1.0,0.0313,0.95,0.000282,0.208,0.232,62.594,178637,0
dj icey,a little louder,2003,03,0.745,0.655,1.0,-6.643,0.0,0.0416,0.00636,0.265,0.138,0.568,133.015,892723,0
mark wills,how bad do you want it,2003,01,0.591,0.742,2.0,-5.42,1.0,0.0309,0.0236,0.0,0.127,0.696,96.108,7184942,0
jaime urrutia,azzurro,2005,09,0.7,0.875,5.0,-5.979,0.0,0.0441,0.00953,0.0,0.3,0.707,120.157,4889363,0
grupo batuque,ole ola,1998,08,0.463,0.872,8.0,-11.35,1.0,0.0528,0.00346,0.016,0.575,0.65,134.407,0,0
radiohead,bullet proof ... i wish i was ,1995,03,0.448,0.359,7.0,-13.559,1.0,0.0288,0.78,0.671,0.0753,0.0773,80.912,39232,0
steve vai,fire,1996,09,0.308,0.739,9.0,-6.17,1.0,0.0459,0.0487,0.834,0.106,0.365,150.034,3898,0
britt nicole,set the world on fire,2007,01,0.617,0.601,11.0,-3.968,1.0,0.0459,0.239,0.0,0.425,0.384,119.975,59399,0
99 posse,rafaniello,2007,06,0.804,0.586,7.0,-12.546,1.0,0.0543,0.00667,0.00434,0.0626,0.619,101.865,129444,0
big star,till the end of the day ,2009,09,0.517,0.879,2.0,-5.789,0.0,0.0529,0.0224,1.05e-06,0.361,0.727,144.532,312512,0
anti-flag,tearing everyone down,1999,03,0.484,0.988,1.0,-3.227,0.0,0.0467,0.0295,1.2e-05,0.221,0.564,109.456,2032,0
chimaira,left for dead ,2005,08,0.237,0.984,7.0,-3.447,1.0,0.0796,6.17e-05,7.2e-05,0.208,0.139,93.505,8119,0
mims,cop it,2007,01,0.74,0.843,6.0,-3.877,1.0,0.376,0.267,0.0,0.102,0.868,90.232,55922,0
sinch,plasma ,2002,07,0.571,0.528,5.0,-7.27,1.0,0.0315,0.0692,0.000417,0.113,0.199,135.903,3421,0
burning spear,tumble down,2009,05,0.782,0.713,8.0,-9.018,1.0,0.0599,0.0799,0.142,0.969,0.775,80.703,2466,0
the black crowes,ballad in urgency,2010,08,0.401,0.427,9.0,-13.391,1.0,0.032,0.169,0.0138,0.0668,0.2,112.187,149337,0
electronic pig,electro nicpig,2005,06,0.719,0.72,5.0,-7.072,1.0,0.112,0.00157,0.507,0.0919,0.625,138.029,149791,0
the mars volta,take the veil cerpin taxt,2003,01,0.24,0.933,9.0,-3.397,0.0,0.14,0.00059,0.0211,0.112,0.387,91.56,7106,0
jessica simpson ,irresistible,2001,06,0.659,0.966,8.0,-2.783,0.0,0.0538,0.0279,8.25e-05,0.0489,0.687,93.008,10856,0
line renaud,il y a des anges,2018,12,0.643,0.293,0.0,-10.873,0.0,0.0406,0.888,0.0,0.11,0.323,117.719,59399,0
andrew w.k.,long live the party,2003,01,0.328,0.921,0.0,-3.897,1.0,0.0396,0.00058,0.000564,0.145,0.388,96.426,2313932,0
marc lavoine,si tu veux le savoir,1985,01,0.717,0.401,3.0,-13.582,1.0,0.0412,0.224,0.000615,0.307,0.674,75.379,22442182,0
professor longhair,no buts - no maybes,2009,06,0.49,0.731,3.0,-7.931,1.0,0.0411,0.677,4.22e-05,0.227,0.964,166.322,1196891,0
unearth,crow killer,2008,09,0.154,0.942,7.0,-5.09,1.0,0.103,8.44e-06,0.0832,0.0738,0.477,177.706,906,0
slim whitman,cattle call,2018,08,0.532,0.259,0.0,-12.939,1.0,0.0286,0.968,0.463,0.08,0.486,108.087,460,0
tim hughes,dance,2009,03,0.524,0.876,0.0,-7.533,1.0,0.0347,0.000114,0.0,0.851,0.588,146.02,25944,0
stephen marley / damian marley,the mission,2008,01,0.844,0.725,9.0,-7.182,0.0,0.0462,0.16,0.0,0.246,0.961,116.033,2201276,0
grizzly bear,deep blue sea ,2009,02,0.555,0.215,6.0,-13.967,0.0,0.0315,0.882,0.59,0.115,0.337,77.874,126724,0
usher,trading places,2008,05,0.696,0.643,0.0,-5.218,1.0,0.0447,0.000153,1.03e-05,0.156,0.332,146.005,2846,0
kathy mattea,the southern soldier boy,1991,08,0.483,0.269,11.0,-12.193,0.0,0.0276,0.786,0.0,0.181,0.413,96.914,116,0
maurice chevalier,la romance de la pluie,2007,11,0.523,0.135,10.0,-21.816,1.0,0.129,0.984,0.523,0.102,0.535,128.313,369,0
firehouse,rock on the radio,1990,09,0.534,0.787,1.0,-10.579,0.0,0.0429,0.000132,0.0025,0.366,0.319,83.896,2345,0
salt the wound,the beginning,2008,02,0.394,0.927,10.0,-9.902,1.0,0.0828,0.00045,0.827,0.161,0.304,145.015,515,0
r.l. burnside,over the hill,1997,03,0.543,0.304,3.0,-7.796,0.0,0.0474,0.867,0.00169,0.402,0.65,97.74,157,0
de la soul / mf doom,rock co.kane flow,2004,10,0.733,0.67,10.0,-3.532,0.0,0.132,0.119,0.0,0.442,0.763,86.983,6574792,0
cut copy,future,2004,01,0.69,0.868,9.0,-8.944,0.0,0.0389,0.0913,0.271,0.133,0.657,119.49,49,0
concretes,souvenirs,2007,10,0.607,0.488,2.0,-7.632,1.0,0.0278,0.322,0.0472,0.234,0.488,119.697,18549,0
izzy stradlin and the ju ju hounds,train tracks,1992,01,0.332,0.941,7.0,-7.6,1.0,0.092,0.00845,0.585,0.351,0.623,150.104,7206,0
marc shaiman,blame canada ,2007,01,0.746,0.277,5.0,-14.3,1.0,0.059,0.989,0.898,0.0994,0.58,136.79,29377,0
jimmy herring,lifeboat serenade,2008,10,0.582,0.534,7.0,-9.657,1.0,0.0268,0.28,0.803,0.145,0.261,124.091,29336,0
eberhard weber,unfinished self-portrait,1993,10,0.713,0.0405,8.0,-25.847,1.0,0.0308,0.903,0.924,0.1,0.518,99.352,13264,0
anne dudley,still lost in the forest,2000,01,0.132,0.175,4.0,-19.001,0.0,0.0346,0.905,0.226,0.115,0.0373,89.34,988716,0
k-os,b-boy stance,2004,01,0.768,0.874,0.0,-5.766,0.0,0.248,0.199,0.0,0.0789,0.843,98.038,6673362,0
diamanda galas,vena cava 8,1993,09,0.234,0.00246,11.0,-54.909,0.0,0.0499,0.634,0.00239,0.271,0.0346,98.745,1374979,0
beenie man,imagination,2005,01,0.65,0.683,5.0,-5.298,0.0,0.174,0.34,0.0,0.109,0.935,79.943,8493,0
black eyed peas / terry dexter,magic,2001,01,0.878,0.775,7.0,-3.747,1.0,0.0554,0.0691,4.87e-06,0.0557,0.899,103.635,2820,0
steinski,hot spot ,2008,05,0.893,0.57,1.0,-13.036,1.0,0.277,0.00248,0.000405,0.0587,0.63,92.662,389088,0
george lopez,memories,2001,08,0.381,0.697,2.0,-14.538,1.0,0.946,0.905,0.0,0.892,0.408,73.571,4555,0
dj harry,shadows,2004,08,0.624,0.678,9.0,-7.301,1.0,0.044,0.102,0.0579,0.0864,0.396,91.046,17924,0
stephen marley / damian marley,the traffic jam,2007,03,0.799,0.634,1.0,-7.136,0.0,0.371,0.448,0.0,0.0706,0.723,94.884,26076,0
i wayne,grow proper,2006,08,0.735,0.7,4.0,-4.991,0.0,0.317,0.255,0.0,0.0699,0.737,168.897,181,0
jazzy b,soorma,2004,01,0.704,0.793,7.0,-6.757,1.0,0.302,0.391,4.06e-05,0.686,0.806,77.964,1388,0
brenda boykin,be my lover,2008,11,0.841,0.592,1.0,-10.532,1.0,0.0509,0.339,0.000335,0.356,0.792,130.043,4283369,0
mastodon,megalodon,2004,08,0.268,0.982,2.0,-6.778,1.0,0.0543,3.5e-06,0.873,0.137,0.366,131.2,938,0
les ogres de barback,flamme & co,2004,01,0.564,0.381,2.0,-9.999,0.0,0.0358,0.862,0.000503,0.0968,0.333,132.088,484569,0
carlos ponce,todo lo que soy,1999,01,0.673,0.73,5.0,-6.722,1.0,0.0287,0.25,1.35e-06,0.177,0.598,98.905,67316,0
scar symmetry,the three-dimensional shadow,2008,06,0.532,0.984,1.0,-3.435,1.0,0.101,1.62e-05,0.102,0.36,0.384,110.03,429,0
scar symmetry,deviate from the form,2006,04,0.519,0.986,3.0,-4.238,0.0,0.0531,6.21e-05,0.000328,0.365,0.452,119.984,7619,0
lifehouse,better luck next time,2005,03,0.482,0.844,4.0,-3.926,1.0,0.0277,0.000325,0.0,0.156,0.555,81.987,204016,0
tito puente,mambo tipico,2010,02,0.552,0.927,7.0,-4.268,1.0,0.0342,0.835,0.727,0.109,0.805,146.285,5868,0
the ruby suns,function of the sun,2007,01,0.541,0.525,7.0,-8.878,1.0,0.0455,0.661,0.758,0.112,0.312,84.962,14566,0
wolfmother,dimension,2006,01,0.484,0.749,11.0,-4.17,0.0,0.0327,0.0186,0.0099,0.436,0.613,142.165,2580412,0
mannheim steamroller,b,2005,11,0.281,0.0943,2.0,-19.566,1.0,0.0403,0.879,5.33e-06,0.141,0.126,36.498,55433,0
morgion,basking under a blacksun dawning,2008,05,0.179,0.726,5.0,-7.467,1.0,0.0433,8.43e-05,0.715,0.114,0.127,96.295,676274,0
beenie man ,feel it boy ,2002,01,0.842,0.656,5.0,-3.189,0.0,0.107,0.16,0.0,0.0626,0.95,102.794,16912,0
2 minutos,vos no confiaste,2007,12,0.414,0.978,7.0,-3.63,1.0,0.0815,0.000417,0.0,0.128,0.615,115.804,327085,0
luke bryan,what country is,2009,01,0.562,0.772,10.0,-4.068,1.0,0.0362,0.0932,0.0,0.0873,0.77,148.126,8696,0
john mayall & the bluesbreakers,blues city shake down,1989,01,0.582,0.591,4.0,-11.043,1.0,0.0309,0.552,0.966,0.171,0.904,132.73,3905187,0
chris standring,fat tuesday,2003,07,0.82,0.539,0.0,-9.416,1.0,0.034,0.0642,0.49,0.0541,0.848,111.001,9658,0
the panic channel,awake,2006,01,0.501,0.952,9.0,-3.283,1.0,0.0606,0.000114,0.216,0.114,0.485,147.911,209735,0
bad azz,ghetto,1998,01,0.712,0.747,11.0,-4.376,0.0,0.266,0.0044,0.0,0.0764,0.373,179.683,47581,0
defect & quixotic,wriststraining order,2004,06,0.489,0.92,8.0,-5.066,0.0,0.349,0.0269,0.132,0.152,0.734,100.935,31096,0
she satellites,no-satellites,1999,06,0.374,0.893,8.0,-7.134,1.0,0.395,0.0209,0.279,0.541,0.186,95.46,1409,0
outkast,call of da wild,1994,04,0.75,0.794,9.0,-6.521,1.0,0.351,0.0318,0.0,0.0829,0.579,177.785,222,0
bill douglas,sapphire,1993,03,0.406,0.402,5.0,-16.125,1.0,0.0425,0.867,0.863,0.0735,0.601,96.723,13822,0
ancient astronauts,crescent moon,2009,06,0.532,0.335,10.0,-7.361,0.0,0.0611,0.186,0.863,0.317,0.109,136.064,379,0
steve vai,brother,1996,09,0.5,0.528,5.0,-7.46,1.0,0.0305,0.534,1e-05,0.135,0.217,113.847,204016,0
jefferson starship,let me fly,1999,09,0.421,0.732,2.0,-11.702,1.0,0.0563,0.0643,2.57e-06,0.7,0.647,130.251,1584,0
los del rio,macarena,1996,04,0.927,0.721,8.0,-12.561,1.0,0.0908,0.422,4.36e-05,0.0422,0.965,103.018,724673,0
luke vibert,mate tron,2007,07,0.703,0.726,0.0,-10.627,1.0,0.0373,0.00946,0.926,0.0644,0.462,124.995,2637,0
spiral stairs,ladies and gentlemen,2009,10,0.655,0.141,0.0,-22.564,0.0,0.737,0.399,0.0,0.395,0.202,79.151,10688,0
tsar,conqueror worm,2005,06,0.374,0.946,2.0,-2.276,1.0,0.0499,0.00154,3.82e-06,0.211,0.307,150.312,42308,0
martin sexton,white christmas,2005,11,0.385,0.0772,3.0,-10.49,1.0,0.033,0.907,3.42e-06,0.098,0.279,178.068,251,0
james newton howard,voices,2008,01,0.22,0.128,1.0,-28.897,0.0,0.04,0.435,0.753,0.847,0.0379,87.362,3974,0
ana popovic,u complete me ,2007,06,0.606,0.406,10.0,-7.37,1.0,0.0323,0.147,0.000316,0.0561,0.555,78.535,11031,0
gertrudis,la nit de reis,2004,10,0.737,0.804,2.0,-6.366,1.0,0.0436,0.0616,0.0084,0.13,0.673,112.065,713416,0
juelz santana / bezel,violence,2005,01,0.537,0.929,7.0,-3.334,1.0,0.407,0.0494,0.0,0.238,0.308,104.55,851,0
the cure,cut here,2001,11,0.623,0.909,2.0,-3.278,1.0,0.0414,0.00801,0.0153,0.223,0.879,134.991,55972,0
eddie turner,secret,2006,05,0.63,0.768,4.0,-6.048,0.0,0.0739,0.000149,0.815,0.698,0.594,94.018,87104,0
c.c. adcock,loaded gun,2004,10,0.723,0.791,9.0,-7.567,0.0,0.0415,0.0126,0.0215,0.0943,0.89,116.011,28856,0
paul glazby,beautiful,2001,01,0.66,0.934,6.0,-9.477,0.0,0.0748,8.6e-05,0.724,0.122,0.514,149.839,388013,0
patti smith,wing,2019,02,0.188,0.265,2.0,-13.609,1.0,0.0301,0.837,0.319,0.133,0.0659,141.867,14599,0
spiral stairs,stolen pills,2009,10,0.2,0.966,3.0,-5.717,0.0,0.0546,3.75e-06,0.263,0.199,0.914,152.514,251,0
david banner,bush,2003,05,0.78,0.857,6.0,-3.311,1.0,0.337,0.0521,0.0,0.103,0.919,149.081,85969,0
paul cantelon,mary in labor,2008,01,0.221,0.201,4.0,-20.712,1.0,0.0378,0.875,0.944,0.158,0.036,66.545,36733,0
the rapture,the devil,2006,01,0.638,0.777,1.0,-6.372,1.0,0.0283,2.78e-06,0.102,0.176,0.437,119.853,1981,0
the chap,gimme legs,2010,05,0.766,0.563,2.0,-7.384,0.0,0.0348,0.00542,0.202,0.243,0.823,120.158,1086,0
peggy zina,o hiroteros ehthros mou,2009,05,0.698,0.742,7.0,-6.19,0.0,0.0408,0.46,0.0,0.0512,0.887,95.913,272,0
j.j. cale,midnight in memphis,1997,01,0.774,0.428,0.0,-14.134,1.0,0.0345,0.169,0.676,0.0794,0.866,111.328,2655809,0
dora the explorer,travel song ,2008,09,0.735,0.919,2.0,-3.925,1.0,0.0365,0.0017,0.224,0.0694,0.681,123.968,16107,0
souls of mischief,spark,2004,01,0.601,0.701,7.0,-6.027,1.0,0.469,0.0555,0.0,0.152,0.648,92.183,123836,0
elliot goldenthal,bullet frenzy,2003,01,0.174,0.532,2.0,-13.42,1.0,0.0583,0.118,0.899,0.156,0.0991,90.862,10032,0
the rapture,killing,2003,01,0.808,0.848,1.0,-8.166,0.0,0.055,0.00162,0.144,0.276,0.29,120.024,248844,0
photo atlas,red orange yellow,2007,01,0.259,0.852,9.0,-5.258,1.0,0.0829,0.000157,0.000164,0.134,0.441,167.684,66388,0
walter jackson,what would you do,1996,06,0.591,0.284,5.0,-12.261,1.0,0.0293,0.723,5.71e-05,0.233,0.457,78.565,3983,0
bizzy bone presents,intro,2011,01,0.698,0.456,6.0,-11.469,0.0,0.736,0.757,0.0,0.512,0.963,76.764,276471,0
tim exile,post-toxic finger disorder,2006,05,0.178,0.997,10.0,-4.64,0.0,0.274,0.00417,0.0525,0.342,0.419,176.975,377,0
john hammond,come to find out,2005,01,0.503,0.399,4.0,-7.468,0.0,0.0343,0.687,6.04e-06,0.101,0.334,89.638,202285,0
richard galliano,french touch,2017,02,0.647,0.567,4.0,-10.191,0.0,0.0388,0.407,0.441,0.151,0.674,113.256,161057,0
pride tiger,56 days,2007,01,0.481,0.943,11.0,-2.041,1.0,0.0635,0.002,0.0,0.291,0.53,114.095,16912,0
winston reedy,daughter of zion,2011,11,0.685,0.463,6.0,-8.355,0.0,0.0614,0.0346,0.0453,0.0636,0.558,76.858,13772069,0
helen love,bubblegum,1997,06,0.678,0.512,6.0,-8.783,1.0,0.0376,0.202,2.67e-06,0.261,0.675,78.044,784838,0
steve riley & the mamou playboys,between eunice & opelousas,2008,01,0.729,0.995,0.0,-4.632,1.0,0.0404,0.373,0.813,0.198,0.983,112.733,3552,0
falco,monarchy now,2011,01,0.646,0.92,6.0,-6.247,1.0,0.107,0.0432,6.38e-05,0.414,0.677,94.795,299,0
novaspace,guardian angel,2004,01,0.607,0.551,2.0,-7.146,1.0,0.0319,0.389,2.95e-05,0.0909,0.383,92.982,15655,0
semisonic,if i run,1996,01,0.5,0.803,9.0,-7.19,1.0,0.0293,5.61e-05,0.244,0.0772,0.533,92.963,140482,0
matisyahu,exaltation,2005,04,0.662,0.625,5.0,-8.104,1.0,0.0512,0.075,2.66e-05,0.613,0.586,90.534,2659,0
alice in chains,brother,1996,07,0.405,0.365,1.0,-10.927,1.0,0.0307,0.557,0.00048,0.89,0.076,85.781,105301,0
cracker,shake some action,1995,01,0.564,0.763,4.0,-5.245,1.0,0.0277,0.00305,0.00229,0.0884,0.632,136.182,63502,0
sapo,el mes alt,2003,11,0.624,0.819,7.0,-4.623,1.0,0.0678,0.147,0.0127,0.226,0.621,140.621,3315894,0
jennifer lopez,talk about us,1999,06,0.705,0.536,6.0,-6.707,1.0,0.0282,0.293,0.0,0.138,0.252,80.988,174,0
the presets,yippiyo-ay,2008,01,0.708,0.938,4.0,-3.954,0.0,0.0566,0.0554,0.00234,0.104,0.413,119.997,6652941,0
kelly clarkson,my life would suck without you,2009,03,0.526,0.882,9.0,-4.006,1.0,0.0509,0.0014,0.0,0.144,0.424,144.982,403891,0
the exies,creeper kamikaze,2003,01,0.471,0.765,10.0,-4.83,0.0,0.0335,0.0176,0.0,0.108,0.293,113.034,1529762,0
dave eggar,wave,2002,06,0.212,0.0209,1.0,-22.091,1.0,0.0463,0.986,0.905,0.106,0.11,202.326,5514,0
babylon disco,error,2007,02,0.257,0.797,10.0,-11.055,0.0,0.11,0.000142,0.893,0.527,0.0649,179.966,2313932,0
saosin,bury your head,2006,01,0.319,0.926,6.0,-3.865,0.0,0.0487,0.000121,0.000978,0.338,0.359,166.051,109160,0
dmx,damien,1998,05,0.825,0.729,10.0,-7.632,0.0,0.325,0.291,0.0,0.117,0.436,96.845,93199,0
nick cave & the bad seeds,still in love,2003,02,0.408,0.305,0.0,-11.291,1.0,0.0367,0.284,0.000148,0.171,0.0566,116.804,56415,0
bersuit vergarabat,sencillamente,2005,01,0.747,0.62,6.0,-7.152,0.0,0.0269,0.323,0.000939,0.144,0.965,136.025,213201,0
kitaro,trong com,1993,01,0.493,0.137,4.0,-22.166,1.0,0.158,0.993,6e-05,0.65,0.64,110.501,20169,0
chimaira,the flame,2007,03,0.471,0.971,7.0,-5.253,1.0,0.143,0.000308,5.21e-05,0.437,0.116,150.055,488414,0
deborah allen,i will always love you,2008,12,0.382,0.14,6.0,-9.727,1.0,0.0293,0.771,2.49e-06,0.13,0.186,132.916,28034,0
floor,ignis,2010,03,0.259,0.914,4.0,-9.438,1.0,0.0563,0.0161,0.889,0.0808,0.536,144.659,334110,0
warren barfield,shadow,2006,02,0.69,0.761,11.0,-6.866,1.0,0.0442,0.0159,0.0,0.342,0.774,117.961,194514,0
dilated peoples,big business,2004,04,0.705,0.852,11.0,-8.157,1.0,0.291,0.462,1.93e-06,0.112,0.696,97.254,4774,0
red hot chili peppers,get on top ,1999,06,0.573,0.994,4.0,-0.407,0.0,0.342,0.0281,0.00543,0.367,0.416,114.563,12217783,0
martin sexton,ice cream man,2002,04,0.628,0.659,8.0,-8.664,0.0,0.0728,0.0416,0.000554,0.977,0.42,133.811,29598,0
the race,raising children,2007,04,0.365,0.772,11.0,-4.174,0.0,0.0369,0.000129,0.0,0.273,0.508,119.054,923429,0
ensiferum,hero in a dream,2008,01,0.505,0.973,7.0,-3.722,1.0,0.132,4.57e-06,0.102,0.16,0.654,100.015,133628,0
chris standring,mumbo jumbo ,2006,01,0.756,0.343,9.0,-9.494,0.0,0.0428,0.862,0.859,0.0846,0.905,97.998,11740640,0
neviss,epilog,2003,09,0.814,0.0649,0.0,-24.801,0.0,0.951,0.934,0.0209,0.587,0.73,100.539,13080,0
george lopez,church hangover,2006,09,0.421,0.803,7.0,-16.247,1.0,0.899,0.885,1.76e-05,0.69,0.0872,127.137,256022,0
autumnblaze,her golden robe in silence veiled,2009,06,0.353,0.602,9.0,-11.948,0.0,0.0377,0.0126,0.591,0.1,0.451,118.751,166652,0
cinder,the ride ,2018,01,0.377,0.947,6.0,-4.846,1.0,0.0504,0.0187,0.0,0.352,0.634,158.039,17429,0
speedball,no survivors,2009,12,0.269,0.875,5.0,-9.041,1.0,0.0395,0.00183,2.23e-05,0.243,0.657,160.004,0,0
bone thugs-n-harmony,murder one,2000,02,0.734,0.672,9.0,-4.732,1.0,0.0908,0.32,0.0,0.302,0.447,75.986,5490,0
portable,theresa,2009,02,0.912,0.308,1.0,-18.026,1.0,0.34,0.0437,0.771,0.0741,0.486,115.957,7302,0
outerspace,drive by music,2006,09,0.791,0.821,8.0,-5.299,0.0,0.246,0.242,0.0,0.11,0.582,90.98,64,0
dinosaur jr,on the brink,1994,08,0.242,0.888,7.0,-7.214,0.0,0.0663,0.00286,0.00516,0.197,0.612,109.807,56768,0
lara,damit du dich in mich verliebst,2009,01,0.667,0.593,2.0,-5.559,1.0,0.0251,0.792,0.0,0.281,0.495,82.023,513057,0
les sexareenos,ruby d.,2012,02,0.385,0.977,11.0,-6.345,1.0,0.056,0.261,6.01e-05,0.397,0.923,96.408,45637,0
michael jackson,history,1995,06,0.43,0.594,1.0,-7.74,1.0,0.12,0.474,0.0,0.592,0.456,93.906,6884,0
hevia,san xuan,2019,03,0.613,0.924,0.0,-5.834,1.0,0.0667,0.00404,0.353,0.282,0.574,124.998,288815,0
benabar,le zoo de vincennes,2003,05,0.602,0.462,4.0,-11.364,0.0,0.0633,0.701,1.22e-05,0.096,0.449,131.784,45117,0
dave hollister,tell me why,2002,01,0.389,0.547,3.0,-7.467,0.0,0.0528,0.278,0.0,0.141,0.28,113.674,17459,0
radiohead,subterranean homesick alien,1997,05,0.316,0.592,0.0,-8.916,1.0,0.0296,0.0498,0.00139,0.103,0.32,150.537,48,0
spinal tap,the majesty of rock,1992,01,0.514,0.949,9.0,-4.904,1.0,0.109,0.000487,0.0601,0.266,0.464,128.052,32455,0
gus viseur,fausse monnaie,2010,05,0.65,0.38,2.0,-10.342,0.0,0.0733,0.949,0.505,0.316,0.85,178.836,8495360,0
zombie girl,i want it,2006,05,0.514,0.959,0.0,-5.517,1.0,0.0422,0.0531,0.33,0.0753,0.408,129.991,700,0
jesse malin and the st. marks social,revelations,2010,04,0.476,0.921,9.0,-4.771,1.0,0.052,0.0149,0.000206,0.0679,0.364,126.016,1407643,0
maurane / lara fabian,mais la vie,2003,01,0.273,0.262,0.0,-12.198,0.0,0.0387,0.84,0.0,0.144,0.316,77.911,37712,0
christina aguilera,walk away,2002,07,0.432,0.421,4.0,-6.053,0.0,0.102,0.523,1.8e-06,0.608,0.116,152.358,11221,0
goatwhore,forever consumed oblivion,2006,09,0.287,0.995,10.0,-3.779,0.0,0.264,1.4e-05,0.0492,0.162,0.0646,124.685,60226,0
tanto metro & devonte,honey i sugar pie,2009,05,0.78,0.639,1.0,-8.93,1.0,0.106,0.00433,3.99e-05,0.0842,0.727,97.977,10603,0
basic channel,phylyps trak ii/ii,2008,08,0.87,0.71,10.0,-11.631,0.0,0.118,1.98e-05,0.964,0.0449,0.148,127.895,54617,0
maximilian hecker,full of voices,2007,11,0.254,0.799,8.0,-8.418,1.0,0.0959,0.0874,0.0126,0.943,0.387,195.006,29258,0
mxpx,answer in the question,2000,01,0.426,0.954,7.0,-3.284,1.0,0.0586,0.00686,0.0,0.331,0.548,130.765,69627,0
snow patrol,chocolate,2004,01,0.579,0.807,2.0,-4.351,1.0,0.0326,0.000542,0.00276,0.121,0.433,118.174,2388,0
darwin hobbs,you are god ,2003,01,0.381,0.382,8.0,-8.432,1.0,0.0579,0.702,0.0,0.108,0.244,145.989,3033,0
astarte,risen from within,2017,09,0.535,0.67,4.0,-6.222,0.0,0.0236,0.0282,0.0364,0.0936,0.265,80.903,882256,0
terry callier,blues,2018,01,0.608,0.626,7.0,-6.77,1.0,0.0382,0.155,0.0,0.0774,0.859,81.733,15111,0
the balustrade ensemble,fall away into darkness,2007,09,0.0647,0.253,11.0,-16.681,0.0,0.0387,0.492,0.673,0.207,0.0351,73.932,9056,0
irma thomas,river is waiting,2008,01,0.431,0.586,3.0,-7.875,1.0,0.0304,0.632,0.000126,0.16,0.748,150.281,38,0
the cardigans,iron man,1996,01,0.578,0.382,5.0,-9.024,1.0,0.0295,0.000986,0.00647,0.12,0.629,137.491,11853,0
galactic,squarebiz,2007,08,0.738,0.731,9.0,-4.129,1.0,0.214,0.0503,0.0,0.0457,0.864,91.807,2372489,0
shamen,scientas,1992,09,0.43,0.457,2.0,-14.153,1.0,0.0314,0.00116,1.8e-05,0.202,0.0589,109.961,230592,0
bebe winans,love thing,2002,03,0.463,0.594,1.0,-9.714,1.0,0.354,0.631,0.0,0.922,0.449,161.273,1995,0
shawn colvin,sunny came home,1996,09,0.554,0.58,11.0,-8.05,0.0,0.0322,0.344,0.00842,0.0989,0.402,167.83,57412,0
lloyd banks,south side story,2004,01,0.631,0.715,1.0,-2.825,1.0,0.198,0.00996,0.0,0.0756,0.216,85.33,18965,0
paul brown,old friends,2005,01,0.737,0.446,7.0,-9.029,0.0,0.0361,0.646,0.329,0.316,0.611,91.989,322034,0
sister hazel,space between us ,1994,01,0.699,0.721,7.0,-8.434,1.0,0.122,0.0334,2.47e-05,0.941,0.66,127.495,24224,0
modeselektor,tetrispack,2005,09,0.761,0.784,2.0,-7.951,1.0,0.313,0.08,0.821,0.0917,0.649,102.977,189608,0
newfound road,brand new broken heart,2009,01,0.59,0.845,7.0,-5.006,1.0,0.032,0.623,0.167,0.332,0.86,111.473,4103,0
lost boyz,get your hustle on,1997,01,0.707,0.569,6.0,-10.09,1.0,0.171,0.021,1.95e-06,0.0688,0.629,93.137,334110,0
set your goals,the fallen...,2009,07,0.268,0.998,8.0,-1.522,1.0,0.388,0.0062,1.71e-05,0.108,0.227,194.655,350679,0
the high strung,the lifestyle that got away,2016,04,0.5,0.946,9.0,-2.588,1.0,0.0497,0.23,0.0,0.262,0.662,94.744,1811283,0
vilma palma e vampiros,te quiero tanto,2003,07,0.754,0.768,7.0,-6.25,1.0,0.0516,0.0624,0.0,0.257,0.768,127.852,25456,0
the killers,show you how,2007,01,0.247,0.574,2.0,-5.855,1.0,0.0961,0.00103,1.68e-05,0.137,0.446,168.291,1407967,0
simple minds,chelsea girl ,2016,11,0.706,0.69,2.0,-6.496,1.0,0.0308,0.0673,0.000148,0.195,0.65,109.021,38961,0
new order,jetstream - arthur baker remix,2005,06,0.808,0.698,0.0,-6.396,1.0,0.0326,0.271,0.000192,0.123,0.529,122.522,185688,0
u2,new york,2000,01,0.66,0.591,7.0,-8.356,1.0,0.0324,0.0487,0.0334,0.137,0.587,125.303,355208,0
silverchair,suicidal dream,2015,03,0.465,0.708,11.0,-6.299,0.0,0.0327,0.0286,1.34e-05,0.108,0.388,97.532,387222,0
marlene dietrich,auf der mundharmonika,1991,01,0.395,0.202,4.0,-15.559,0.0,0.0343,0.896,3.12e-05,0.353,0.383,56.607,388,0
colin james,sending a message,2003,09,0.562,0.762,11.0,-7.289,1.0,0.0903,0.202,0.000553,0.0586,0.599,149.47,63348,0
cancer bats,sabotage,2010,04,0.38,0.955,1.0,-4.344,1.0,0.193,6.03e-05,0.697,0.176,0.399,172.223,11398,0
carlos ponce,escuchame,1999,01,0.707,0.886,0.0,-6.693,1.0,0.0821,0.123,0.0,0.235,0.68,98.065,747101,0
