Artist,Track,Year,Month,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Followers,Target
kane,rain down on me,2003,09,0.463,0.879,5.0,-3.456,0.0,0.0602,0.00116,1.14e-05,0.11,0.334,132.884,78381,0
vangelis,el greco: movement iii,1998,10,0.205,0.082,7.0,-19.806,1.0,0.0325,0.983,0.891,0.147,0.0757,177.19,13822,0
mariano yanani,why should i cry for you,2005,01,0.269,0.169,8.0,-15.746,1.0,0.0368,0.965,0.876,0.112,0.28,158.971,179279,0
gertrudis,oye,2005,04,0.826,0.93,9.0,-4.846,0.0,0.0505,0.209,0.0,0.145,0.84,115.936,5046422,0
between the buried and me,kickstart my heart ,2006,06,0.376,0.967,2.0,-5.116,1.0,0.116,0.00704,1.7e-05,0.369,0.314,178.964,1240,0
the knux,bang! bang!,2008,01,0.702,0.733,4.0,-4.522,0.0,0.127,0.00602,3.8e-06,0.126,0.514,140.037,713416,0
klaus badelt,time travel,2002,01,0.067,0.159,2.0,-17.936,1.0,0.0379,0.726,0.871,0.125,0.036,72.652,3351,0
tranzas,un nuevo amor ,2006,10,0.572,0.412,1.0,-10.042,1.0,0.32,0.717,0.0,0.143,0.443,77.064,5981,0
tony joe white,menutha,1995,07,0.58,0.588,2.0,-9.635,1.0,0.0274,0.252,0.605,0.157,0.664,134.548,113364,0
steinski,silent partner ,2008,05,0.658,0.425,2.0,-17.873,0.0,0.299,0.671,5.9e-06,0.387,0.445,102.499,1901,0
nightwish,the poet and the pendulum,2019,10,0.45,0.828,7.0,-6.646,0.0,0.0445,0.00808,0.00951,0.273,0.142,144.994,2175,0
audio adrenaline,my god  ,1992,01,0.636,0.721,9.0,-7.61,0.0,0.235,0.231,1.37e-05,0.701,0.422,99.648,328915,0
deep forest,green and blue,1998,01,0.64,0.653,6.0,-10.349,0.0,0.0872,0.0484,5.11e-05,0.22,0.548,174.005,78449,0
obie bermudez,antes ,2003,01,0.539,0.566,8.0,-8.21,1.0,0.033,0.188,0.0,0.101,0.628,74.997,1717,0
elvenking,pathfinders,2004,04,0.255,0.97,2.0,-3.8,1.0,0.182,0.000254,0.00107,0.128,0.41,149.794,23977,0
weedeater,monkey junction,2013,12,0.145,0.854,7.0,-6.101,1.0,0.109,0.0174,7.73e-05,0.112,0.139,66.198,152936,0
aesop rock,train buffer,2004,01,0.632,0.872,11.0,-4.95,1.0,0.237,0.226,5.68e-06,0.309,0.558,86.979,143437,0
rakim,skit,1996,11,0.657,0.113,1.0,-17.855,1.0,0.406,0.534,0.0,0.118,0.966,77.915,7353687,0
foals,red socks pugie,2008,04,0.538,0.897,5.0,-6.721,1.0,0.0453,0.147,0.000516,0.104,0.385,156.977,282,0
faith hill,i want you ,2005,08,0.632,0.441,0.0,-9.895,1.0,0.0287,0.308,0.000108,0.0521,0.264,119.045,4577,0
memphis jug band,going back to memphis,2005,06,0.732,0.379,1.0,-11.918,1.0,0.0515,0.892,9.52e-05,0.265,0.844,143.145,31268,0
